# Performance Monitoring Events for Intel Atom Processors Based on the Goldmont Microarchitecture - V8
# 8/16/2016 1:31:03 PM
# Copyright (c) 2007 - 2016 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	PEBScounters	SampleAfterValue	MSRIndex	MSRValue	CollectPEBSRecord	CounterMask	Invert	AnyThread	EdgeDetect	PEBS	Data_LA	Errata
0xB7	0x01,0x02	OFFCORE_RESPONSE.PARTIAL_STREAMING_STORES.L2_MISS.HIT_OTHER_CORE_NO_FWD	Counts partial cache line data writes to uncacheable write combining (USWC) memory region  that miss the L2 cache with a snoop hit in the other processor module, no data forwarding is required.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0400004000 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.PARTIAL_STREAMING_STORES.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED	Counts partial cache line data writes to uncacheable write combining (USWC) memory region  that true miss for the L2 cache with a snoop miss in the other processor module. 	0,1,2,3	0	100007	0x1a6,0x1a7	0x0200004000 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.PARTIAL_STREAMING_STORES.L2_HIT	Counts partial cache line data writes to uncacheable write combining (USWC) memory region  that hit the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0000044000 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.PF_L1_DATA_RD.L2_MISS.ANY	Counts data cache line reads generated by hardware L1 data cache prefetcher that miss the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x3600002000 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.PF_L1_DATA_RD.L2_MISS.HITM_OTHER_CORE	Counts data cache line reads generated by hardware L1 data cache prefetcher that miss the L2 cache with a snoop hit in the other processor module, data forwarding is required.	0,1,2,3	0	100007	0x1a6,0x1a7	0x1000002000 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.PF_L1_DATA_RD.L2_MISS.HIT_OTHER_CORE_NO_FWD	Counts data cache line reads generated by hardware L1 data cache prefetcher that miss the L2 cache with a snoop hit in the other processor module, no data forwarding is required.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0400002000 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.PF_L1_DATA_RD.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED	Counts data cache line reads generated by hardware L1 data cache prefetcher that true miss for the L2 cache with a snoop miss in the other processor module. 	0,1,2,3	0	100007	0x1a6,0x1a7	0x0200002000 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.PF_L1_DATA_RD.L2_HIT	Counts data cache line reads generated by hardware L1 data cache prefetcher that hit the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0000042000 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.SW_PREFETCH.L2_MISS.ANY	Counts data cache lines requests by software prefetch instructions that miss the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x3600001000 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.SW_PREFETCH.L2_MISS.HITM_OTHER_CORE	Counts data cache lines requests by software prefetch instructions that miss the L2 cache with a snoop hit in the other processor module, data forwarding is required.	0,1,2,3	0	100007	0x1a6,0x1a7	0x1000001000 	0	0	0	0	0	0	0	null
