# Performance Monitoring Events for Intel(R) Xeon(R) processor E5 family and Intel(R) Xeon(R) processor E7 family Based on the Ivy Bridge-EP Microarchitecture - V17
# 7/29/2015 2:56:15 PM
# Copyright (c) 2007 - 2014 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	CounterHTOff	SampleAfterValue	MSRIndex	MSRValue	TakenAlone	CounterMask	Invert	AnyThread	EdgeDetect	PEBS	PRECISE_STORE	Errata
0xB7	0x01	OFFCORE_RESPONSE.PF_L2_DATA_RD.LLC_MISS.REMOTE_HITM_0	Counts prefetch (that bring data to L2) data reads that miss the LLC  the data is found in M state in remote cache and forwarded from there	0	0	100003	0x1a6	0x107fc00010	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.PF_LLC_CODE_RD.LLC_HIT.ANY_RESPONSE_0	Counts all prefetch (that bring data to LLC only) code reads that hit in the LLC	0	0	100003	0x1a6	0x3f803c0200	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.PF_LLC_CODE_RD.LLC_MISS.ANY_RESPONSE_0	Counts all prefetch (that bring data to LLC only) code reads that miss in the LLC	0	0	100003	0x1a6	0x3fffc00200	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.PF_LLC_DATA_RD.LLC_HIT.ANY_RESPONSE_0	Counts prefetch (that bring data to LLC only) data reads that hit in the LLC	0	0	100003	0x1a6	0x3f803c0080	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.PF_LLC_DATA_RD.LLC_HIT.HIT_OTHER_CORE_NO_FWD_0	Counts prefetch (that bring data to LLC only) data reads that hit in the LLC and the snoops to sibling cores hit in either E/S state and the line is not forwarded	0	0	100003	0x1a6	0x4003c0080	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.PF_LLC_DATA_RD.LLC_HIT.HITM_OTHER_CORE_0	Counts prefetch (that bring data to LLC only) data reads that hit in the LLC and the snoop to one of the sibling cores hits the line in M state and the line is forwarded	0	0	100003	0x1a6	0x10003c0080	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.PF_LLC_DATA_RD.LLC_HIT.NO_SNOOP_NEEDED_0	Counts prefetch (that bring data to LLC only) data reads that hit in the LLC and sibling core snoops are not needed as either the core-valid bit is not set or the shared line is present in multiple cores	0	0	100003	0x1a6	0x1003c0080	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.PF_LLC_DATA_RD.LLC_HIT.SNOOP_MISS_0	Counts prefetch (that bring data to LLC only) data reads that hit in the LLC and the snoops sent to sibling cores return clean response	0	0	100003	0x1a6	0x2003c0080	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.PF_LLC_DATA_RD.LLC_MISS.ANY_RESPONSE_0	Counts prefetch (that bring data to LLC only) data reads that miss in the LLC	0	0	100003	0x1a6	0x3fffc00080	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.SPLIT_LOCK_UC_LOCK.ANY_RESPONSE_0	Counts requests where the address of an atomic lock instruction spans a cache line boundary or the lock instruction is executed on uncacheable address	0	0	100003	0x1a6	0x10400	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.STREAMING_STORES.ANY_RESPONSE_0	Counts non-temporal stores	0	0	100003	0x1a6	0x10800	0	0	0	0	0	0	0	null
0xBB	0x01	OFFCORE_RESPONSE.ALL_CODE_RD.LLC_MISS.ANY_RESPONSE_1	Counts all demand & prefetch code reads that miss the LLC	3	3	100003	0x1a7	0x3fffc00244	0	0	0	0	0	0	0	null
0xBB	0x01	OFFCORE_RESPONSE.ALL_CODE_RD.LLC_MISS.REMOTE_DRAM_1	Counts all demand & prefetch code reads that miss the LLC  and the data returned from remote dram	3	3	100003	0x1a7	0x67f800244	0	0	0	0	0	0	0	null
0xBB	0x01	OFFCORE_RESPONSE.ALL_CODE_RD.LLC_MISS.REMOTE_HIT_FORWARD_1	Counts all demand & prefetch code reads that miss the LLC  and the data forwarded from remote cache	3	3	100003	0x1a7	0x87f800244	0	0	0	0	0	0	0	null
0xBB	0x01	OFFCORE_RESPONSE.ALL_DATA_RD.LLC_HIT.HIT_OTHER_CORE_NO_FWD_1	Counts demand & prefetch data reads that hit in the LLC and the snoops to sibling cores hit in either E/S state and the line is not forwarded	3	3	100003	0x1a7	0x4003c0091	0	0	0	0	0	0	0	null
0xBB	0x01	OFFCORE_RESPONSE.ALL_DATA_RD.LLC_HIT.HITM_OTHER_CORE_1	Counts demand & prefetch data reads that hit in the LLC and the snoop to one of the sibling cores hits the line in M state and the line is forwarded	3	3	100003	0x1a7	0x10003c0091	0	0	0	0	0	0	0	null
0xBB	0x01	OFFCORE_RESPONSE.ALL_DATA_RD.LLC_HIT.NO_SNOOP_NEEDED_1	Counts demand & prefetch data reads that hit in the LLC and sibling core snoops are not needed as either the core-valid bit is not set or the shared line is present in multiple cores	3	3	100003	0x1a7	0x1003c0091	0	0	0	0	0	0	0	null
0xBB	0x01	OFFCORE_RESPONSE.ALL_DATA_RD.LLC_HIT.SNOOP_MISS_1	Counts demand & prefetch data reads that hit in the LLC and sibling core snoop returned a clean response	3	3	100003	0x1a7	0x2003c0091	0	0	0	0	0	0	0	null
0xBB	0x01	OFFCORE_RESPONSE.ALL_DATA_RD.LLC_MISS.ANY_RESPONSE_1	Counts all demand & prefetch data reads that hits the LLC	3	3	100003	0x1a7	0x3fffc20091	0	0	0	0	0	0	0	null
0xBB	0x01	OFFCORE_RESPONSE.ALL_PF_DATA_RD.LLC_HIT.ANY_RESPONSE_1	Counts all prefetch data reads that hit the LLC	3	3	100003	0x1a7	0x3f803c0090	0	0	0	0	0	0	0	null
0xBB	0x01	OFFCORE_RESPONSE.ALL_PF_DATA_RD.LLC_HIT.HIT_OTHER_CORE_NO_FWD_1	Counts prefetch data reads that hit in the LLC and the snoops to sibling cores hit in either E/S state and the line is not forwarded	3	3	100003	0x1a7	0x4003c0090	0	0	0	0	0	0	0	null
0xBB	0x01	OFFCORE_RESPONSE.ALL_PF_DATA_RD.LLC_HIT.HITM_OTHER_CORE_1	Counts prefetch data reads that hit in the LLC and the snoop to one of the sibling cores hits the line in M state and the line is forwarded	3	3	100003	0x1a7	0x10003c0090	0	0	0	0	0	0	0	null
